## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics  --BAIT_INTERVALS /work/sduvarcall/ngs-workshop-2018/resources/workshop_chr21_regions_g1k.interval_list --TARGET_INTERVALS /work/sduvarcall/ngs-workshop-2018/resources/workshop_chr21_regions_g1k.interval_list --INPUT HG003_father_recalibrated.bam --OUTPUT quality_control/HG003_father_HsMetrics.txt --REFERENCE_SEQUENCE /work/sduvarcall/ngs-workshop-2018/reference/human_g1k_v37_decoy.fasta  --METRIC_ACCUMULATION_LEVEL ALL_READS --NEAR_DISTANCE 250 --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 12 01:42:43 CET 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
workshop_chr21_regions_g1k	345299	1	52376433	23456072	0	1	0	0.690686	151.684288	0.678713	0.457731	6275.706612	837887	3.07981	3.176193	3.279716	3.390378	3.521031	4.429175	345299	3137454505	698348	698348	77170177	569808	569128	75832505	61922762	35323149	1	0.815937	0.998807	102.297281	91	1043	0	0.000949	0.183427	0	0.00524	0.009992	0.115379	0.220162	1.704955	0.99916	0.998946	0.994915	0.988616	0.976261	0.94351	0.8847	0.424229	1.430682	4.480653	0.998506	28			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	290	0
1	74	0
2	68	0
3	80	0
4	85	2848
5	203	9672
6	221	7141
7	276	30453
8	261	30492
9	198	12120
10	187	38284
11	195	53467
12	197	56567
13	203	60998
14	197	80030
15	245	42920
16	230	18627
17	250	37360
18	237	4129
19	234	3047
20	253	0
21	247	4346
22	324	39253
23	363	73105
24	370	13629
25	450	111493
26	501	109254
27	515	174792
28	570	219346
29	673	158546
30	736	172491
31	827	9738
32	943	119160
33	1002	1189677
34	1111	2777766
35	1215	4365164
36	1279	3912046
37	1280	2124170
38	1381	2976602
39	1535	8015620
40	1618	4708138
41	1710	2428626
42	1826	100896
43	1945	0
44	1944	0
45	2059	0
46	2240	0
47	2336	0
48	2323	0
49	2306	0
50	2504	0
51	2489	0
52	2707	0
53	2893	0
54	2846	0
55	2895	0
56	2974	0
57	2995	0
58	3100	0
59	3237	0
60	3218	0
61	3219	0
62	3385	0
63	3313	0
64	3255	0
65	3398	0
66	3375	0
67	3434	0
68	3444	0
69	3563	0
70	3607	0
71	3631	0
72	3459	0
73	3525	0
74	3418	0
75	3385	0
76	3279	0
77	3189	0
78	3148	0
79	3248	0
80	3266	0
81	3263	0
82	3295	0
83	3459	0
84	3325	0
85	3359	0
86	3353	0
87	3208	0
88	3263	0
89	3057	0
90	3087	0
91	3022	0
92	2969	0
93	2973	0
94	3060	0
95	2948	0
96	3043	0
97	3005	0
98	3022	0
99	2890	0
100	2909	0
101	3015	0
102	2911	0
103	2867	0
104	2714	0
105	2755	0
106	2684	0
107	2740	0
108	2791	0
109	2738	0
110	2633	0
111	2604	0
112	2596	0
113	2512	0
114	2453	0
115	2425	0
116	2340	0
117	2358	0
118	2191	0
119	2276	0
120	2138	0
121	2134	0
122	2013	0
123	2049	0
124	1914	0
125	1741	0
126	1712	0
127	1684	0
128	1626	0
129	1496	0
130	1492	0
131	1503	0
132	1496	0
133	1602	0
134	1524	0
135	1541	0
136	1489	0
137	1477	0
138	1463	0
139	1381	0
140	1355	0
141	1351	0
142	1268	0
143	1312	0
144	1272	0
145	1164	0
146	1154	0
147	1144	0
148	1072	0
149	1046	0
150	1026	0
151	969	0
152	924	0
153	959	0
154	896	0
155	937	0
156	873	0
157	809	0
158	843	0
159	805	0
160	759	0
161	773	0
162	741	0
163	802	0
164	777	0
165	778	0
166	740	0
167	692	0
168	688	0
169	724	0
170	717	0
171	698	0
172	675	0
173	635	0
174	576	0
175	552	0
176	585	0
177	495	0
178	511	0
179	505	0
180	519	0
181	472	0
182	503	0
183	435	0
184	480	0
185	453	0
186	422	0
187	447	0
188	381	0
189	381	0
190	354	0
191	390	0
192	378	0
193	373	0
194	318	0
195	336	0
196	334	0
197	289	0
198	273	0
199	271	0
200	18088	0

