## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT HG002_son_sorted.bam --OUTPUT HG002_son_sorted_nodup.bam --METRICS_FILE quality_control/HG002_son_duplicate_metrics.txt --REMOVE_DUPLICATES false --OPTICAL_DUPLICATE_PIXEL_DISTANCE 2500 --CREATE_INDEX true  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 12 00:36:51 CET 2019

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Illumina	2465	784127	1978	2465	1024	135769	22791	0.173527	2304637

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.025138	533601	0	549406
2.0	1.754627	96758	21116	86471
3.0	2.273731	15402	797	11104
4.0	2.643126	2224	27	1223
5.0	2.905988	335	0	142
6.0	3.09304	34	0	11
7.0	3.226146	3	0	0
8.0	3.320865	1	0	1
9.0	3.388267	0	0	0
10.0	3.43623	0	0	0
11.0	3.470361	0	0	0
12.0	3.494648	0	0	0
13.0	3.511931	0	0	0
14.0	3.524229	0	0	0
15.0	3.532981	0	0	0
16.0	3.539209	0	0	0
17.0	3.54364	0	0	0
18.0	3.546794	0	0	0
19.0	3.549038	0	0	0
20.0	3.550635	0	0	0
21.0	3.551771	0	0	0
22.0	3.55258	0	0	0
23.0	3.553155	0	0	0
24.0	3.553564	0	0	0
25.0	3.553856	0	0	0
26.0	3.554063	0	0	0
27.0	3.554211	0	0	0
28.0	3.554316	0	0	0
29.0	3.55439	0	0	0
30.0	3.554444	0	0	0
31.0	3.554481	0	0	0
32.0	3.554508	0	0	0
33.0	3.554528	0	0	0
34.0	3.554541	0	0	0
35.0	3.554551	0	0	0
36.0	3.554558	0	0	0
37.0	3.554563	0	0	0
38.0	3.554566	0	0	0
39.0	3.554569	0	0	0
40.0	3.55457	0	0	0
41.0	3.554572	0	0	0
42.0	3.554573	0	0	0
43.0	3.554573	0	0	0
44.0	3.554574	0	0	0
45.0	3.554574	0	0	0
46.0	3.554574	0	0	0
47.0	3.554574	0	0	0
48.0	3.554575	0	0	0
49.0	3.554575	0	0	0
50.0	3.554575	0	0	0
51.0	3.554575	0	0	0
52.0	3.554575	0	0	0
53.0	3.554575	0	0	0
54.0	3.554575	0	0	0
55.0	3.554575	0	0	0
56.0	3.554575	0	0	0
57.0	3.554575	0	0	0
58.0	3.554575	0	0	0
59.0	3.554575	0	0	0
60.0	3.554575	0	0	0
61.0	3.554575	0	0	0
62.0	3.554575	0	0	0
63.0	3.554575	0	0	0
64.0	3.554575	0	0	0
65.0	3.554575	0	0	0
66.0	3.554575	0	0	0
67.0	3.554575	0	0	0
68.0	3.554575	0	0	0
69.0	3.554575	0	0	0
70.0	3.554575	0	0	0
71.0	3.554575	0	0	0
72.0	3.554575	0	0	0
73.0	3.554575	0	0	0
74.0	3.554575	0	0	0
75.0	3.554575	0	0	0
76.0	3.554575	0	0	0
77.0	3.554575	0	0	0
78.0	3.554575	0	0	0
79.0	3.554575	0	0	0
80.0	3.554575	0	0	0
81.0	3.554575	0	0	0
82.0	3.554575	0	0	0
83.0	3.554575	0	0	0
84.0	3.554575	0	0	0
85.0	3.554575	0	0	0
86.0	3.554575	0	0	0
87.0	3.554575	0	0	0
88.0	3.554575	0	0	0
89.0	3.554575	0	0	0
90.0	3.554575	0	0	0
91.0	3.554575	0	0	0
92.0	3.554575	0	0	0
93.0	3.554575	0	0	0
94.0	3.554575	0	0	0
95.0	3.554575	0	0	0
96.0	3.554575	0	0	0
97.0	3.554575	0	0	0
98.0	3.554575	0	0	0
99.0	3.554575	0	0	0
100.0	3.554575	0	0	0

