## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT HG003_father_sorted.bam --OUTPUT HG003_father_sorted_nodup.bam --METRICS_FILE quality_control/HG003_father_duplicate_metrics.txt --REMOVE_DUPLICATES false --OPTICAL_DUPLICATE_PIXEL_DISTANCE 2500 --CREATE_INDEX true  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 12 00:37:11 CET 2019

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Illumina	2824	784773	2264	2824	1132	139332	23781	0.177945	2245195

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.026114	528367	0	544798
2.0	1.749541	98191	22102	87433
3.0	2.259569	15994	793	11694
4.0	2.619147	2471	31	1356
5.0	2.872655	356	0	140
6.0	3.051383	56	0	18
7.0	3.177388	6	0	2
8.0	3.266224	0	0	0
9.0	3.328855	0	0	0
10.0	3.373011	0	0	0
11.0	3.404142	0	0	0
12.0	3.426089	0	0	0
13.0	3.441562	0	0	0
14.0	3.452471	0	0	0
15.0	3.460162	0	0	0
16.0	3.465585	0	0	0
17.0	3.469408	0	0	0
18.0	3.472103	0	0	0
19.0	3.474003	0	0	0
20.0	3.475342	0	0	0
21.0	3.476287	0	0	0
22.0	3.476953	0	0	0
23.0	3.477422	0	0	0
24.0	3.477753	0	0	0
25.0	3.477986	0	0	0
26.0	3.478151	0	0	0
27.0	3.478267	0	0	0
28.0	3.478349	0	0	0
29.0	3.478406	0	0	0
30.0	3.478447	0	0	0
31.0	3.478476	0	0	0
32.0	3.478496	0	0	0
33.0	3.47851	0	0	0
34.0	3.47852	0	0	0
35.0	3.478527	0	0	0
36.0	3.478532	0	0	0
37.0	3.478536	0	0	0
38.0	3.478538	0	0	0
39.0	3.47854	0	0	0
40.0	3.478541	0	0	0
41.0	3.478542	0	0	0
42.0	3.478543	0	0	0
43.0	3.478543	0	0	0
44.0	3.478543	0	0	0
45.0	3.478544	0	0	0
46.0	3.478544	0	0	0
47.0	3.478544	0	0	0
48.0	3.478544	0	0	0
49.0	3.478544	0	0	0
50.0	3.478544	0	0	0
51.0	3.478544	0	0	0
52.0	3.478544	0	0	0
53.0	3.478544	0	0	0
54.0	3.478544	0	0	0
55.0	3.478544	0	0	0
56.0	3.478544	0	0	0
57.0	3.478544	0	0	0
58.0	3.478544	0	0	0
59.0	3.478544	0	0	0
60.0	3.478544	0	0	0
61.0	3.478544	0	0	0
62.0	3.478544	0	0	0
63.0	3.478544	0	0	0
64.0	3.478544	0	0	0
65.0	3.478544	0	0	0
66.0	3.478544	0	0	0
67.0	3.478544	0	0	0
68.0	3.478544	0	0	0
69.0	3.478544	0	0	0
70.0	3.478544	0	0	0
71.0	3.478544	0	0	0
72.0	3.478544	0	0	0
73.0	3.478544	0	0	0
74.0	3.478544	0	0	0
75.0	3.478544	0	0	0
76.0	3.478544	0	0	0
77.0	3.478544	0	0	0
78.0	3.478544	0	0	0
79.0	3.478544	0	0	0
80.0	3.478544	0	0	0
81.0	3.478544	0	0	0
82.0	3.478544	0	0	0
83.0	3.478544	0	0	0
84.0	3.478544	0	0	0
85.0	3.478544	0	0	0
86.0	3.478544	0	0	0
87.0	3.478544	0	0	0
88.0	3.478544	0	0	0
89.0	3.478544	0	0	0
90.0	3.478544	0	0	0
91.0	3.478544	0	0	0
92.0	3.478544	0	0	0
93.0	3.478544	0	0	0
94.0	3.478544	0	0	0
95.0	3.478544	0	0	0
96.0	3.478544	0	0	0
97.0	3.478544	0	0	0
98.0	3.478544	0	0	0
99.0	3.478544	0	0	0
100.0	3.478544	0	0	0

