## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics  --BAIT_INTERVALS /work/sduvarcall/ngs-workshop-2018/resources/workshop_chr21_regions_g1k.interval_list --TARGET_INTERVALS /work/sduvarcall/ngs-workshop-2018/resources/workshop_chr21_regions_g1k.interval_list --INPUT HG004_mother_recalibrated.bam --OUTPUT quality_control/HG004_mother_HsMetrics.txt --REFERENCE_SEQUENCE /work/sduvarcall/ngs-workshop-2018/reference/human_g1k_v37_decoy.fasta  --METRIC_ACCUMULATION_LEVEL ALL_READS --NEAR_DISTANCE 250 --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 12 01:42:56 CET 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
workshop_chr21_regions_g1k	345299	1	53957001	23701113	0	1	0	0.694802	156.261678	0.682458	0.453492	6313.105984	883194	3.062008	3.155278	3.254035	3.358278	3.469105	4.285493	345299	3137454505	715474	715474	79062753	587245	586563	77658114	63788477	35854317	1	0.820778	0.998839	103.835566	94	568	0	0.002846	0.178599	0	0.005251	0.010783	0.12843	0.215252	1.674767	0.99777	0.997055	0.991263	0.985288	0.975462	0.947422	0.893646	0.454235	1.605802	3.684217	0.996272	24			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	770	0
1	247	0
2	231	0
3	237	0
4	275	2344
5	213	11491
6	199	1355
7	354	12576
8	248	59926
9	243	21021
10	316	69316
11	133	26719
12	174	55285
13	178	102856
14	282	64272
15	183	56508
16	179	48608
17	177	9563
18	231	3124
19	210	0
20	200	0
21	245	5663
22	313	29697
23	324	14378
24	371	97259
25	332	121847
26	333	131801
27	376	247758
28	420	132923
29	479	215508
30	547	192697
31	649	24952
32	730	240728
33	875	2248654
34	1000	3418983
35	1047	4663250
36	1120	2194002
37	1125	2283622
38	1214	5040341
39	1375	6178267
40	1356	4682685
41	1505	2418816
42	1497	40046
43	1688	0
44	1811	0
45	1923	0
46	2069	0
47	2170	0
48	2243	0
49	2307	0
50	2370	0
51	2347	0
52	2406	0
53	2707	0
54	2685	0
55	2724	0
56	2760	0
57	2699	0
58	2768	0
59	2868	0
60	2954	0
61	2931	0
62	2823	0
63	2829	0
64	3041	0
65	3007	0
66	3149	0
67	3173	0
68	3264	0
69	3117	0
70	3164	0
71	3330	0
72	3327	0
73	3360	0
74	3248	0
75	3257	0
76	3273	0
77	3109	0
78	3173	0
79	3242	0
80	3336	0
81	3283	0
82	3319	0
83	3329	0
84	3142	0
85	3201	0
86	3286	0
87	3296	0
88	3267	0
89	3266	0
90	3198	0
91	3032	0
92	3060	0
93	3100	0
94	3039	0
95	3007	0
96	2849	0
97	2867	0
98	2899	0
99	2847	0
100	2957	0
101	3013	0
102	2939	0
103	2944	0
104	2956	0
105	2873	0
106	2949	0
107	2952	0
108	2928	0
109	2881	0
110	2806	0
111	2828	0
112	2635	0
113	2635	0
114	2615	0
115	2549	0
116	2476	0
117	2488	0
118	2435	0
119	2360	0
120	2330	0
121	2234	0
122	2103	0
123	2229	0
124	2046	0
125	1962	0
126	1928	0
127	1941	0
128	1831	0
129	1798	0
130	1860	0
131	1773	0
132	1719	0
133	1824	0
134	1719	0
135	1713	0
136	1659	0
137	1543	0
138	1600	0
139	1437	0
140	1486	0
141	1402	0
142	1444	0
143	1365	0
144	1349	0
145	1237	0
146	1174	0
147	1040	0
148	996	0
149	1026	0
150	1051	0
151	1025	0
152	997	0
153	975	0
154	954	0
155	946	0
156	936	0
157	946	0
158	943	0
159	1010	0
160	972	0
161	966	0
162	960	0
163	909	0
164	922	0
165	827	0
166	828	0
167	743	0
168	698	0
169	681	0
170	679	0
171	708	0
172	648	0
173	693	0
174	663	0
175	608	0
176	586	0
177	589	0
178	604	0
179	558	0
180	588	0
181	548	0
182	520	0
183	519	0
184	525	0
185	521	0
186	503	0
187	516	0
188	471	0
189	454	0
190	425	0
191	397	0
192	400	0
193	398	0
194	381	0
195	321	0
196	326	0
197	305	0
198	294	0
199	331	0
200	18492	0

