## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics  --BAIT_INTERVALS /work/sduvarcall/ngs-workshop-2018/resources/workshop_chr21_regions_g1k.interval_list --TARGET_INTERVALS /work/sduvarcall/ngs-workshop-2018/resources/workshop_chr21_regions_g1k.interval_list --INPUT HG002_son_recalibrated.bam --OUTPUT quality_control/HG002_son_HsMetrics.txt --REFERENCE_SEQUENCE /work/sduvarcall/ngs-workshop-2018/reference/human_g1k_v37_decoy.fasta  --METRIC_ACCUMULATION_LEVEL ALL_READS --NEAR_DISTANCE 250 --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 12 01:42:28 CET 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
workshop_chr21_regions_g1k	345299	1	59293554	26021220	0	1	0	0.694997	171.716553	0.681346	0.446974	6314.883662	965077	3.152933	3.237335	3.333795	3.436284	3.546007	4.293573	345299	3137454505	787525	787525	87024111	645699	645059	85314774	70003982	38897506	1	0.819909	0.999009	112.648765	100	1081	0	0.000949	0.179462	0	0.00563	0.008827	0.137052	0.213108	1.706799	0.999154	0.999128	0.995445	0.989621	0.980284	0.959012	0.915974	0.50482	1.879375	3.851044	0.998477	28			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	292	0
1	9	0
2	78	0
3	133	0
4	189	0
5	200	546
6	176	12544
7	154	27766
8	202	36446
9	140	7213
10	179	35214
11	205	49913
12	195	58043
13	254	41910
14	137	81139
15	195	62260
16	187	15879
17	200	45074
18	230	5241
19	229	3594
20	221	161
21	191	1334
22	248	32613
23	323	4540
24	338	112577
25	314	5051
26	344	93887
27	369	305327
28	404	151727
29	472	197991
30	489	191023
31	527	38244
32	541	243725
33	586	2303490
34	767	2580364
35	802	6321344
36	799	2241008
37	885	2478549
38	933	5390796
39	1016	6583396
40	1151	4966235
41	1312	2566486
42	1250	40976
43	1305	0
44	1478	0
45	1626	0
46	1590	0
47	1600	0
48	1749	0
49	1800	0
50	1921	0
51	1871	0
52	2004	0
53	2059	0
54	2061	0
55	2179	0
56	2436	0
57	2548	0
58	2503	0
59	2524	0
60	2546	0
61	2669	0
62	2621	0
63	2602	0
64	2802	0
65	2770	0
66	3005	0
67	2889	0
68	2933	0
69	3100	0
70	3107	0
71	3029	0
72	3053	0
73	3082	0
74	3161	0
75	3068	0
76	3064	0
77	3140	0
78	3016	0
79	3129	0
80	3042	0
81	3091	0
82	3126	0
83	3181	0
84	3173	0
85	3203	0
86	3133	0
87	3187	0
88	2987	0
89	3152	0
90	3182	0
91	3105	0
92	3068	0
93	3130	0
94	3083	0
95	3016	0
96	2823	0
97	2811	0
98	2721	0
99	2865	0
100	2883	0
101	2826	0
102	2902	0
103	2744	0
104	2734	0
105	2840	0
106	2731	0
107	2699	0
108	2676	0
109	2646	0
110	2592	0
111	2563	0
112	2598	0
113	2556	0
114	2635	0
115	2552	0
116	2587	0
117	2507	0
118	2527	0
119	2352	0
120	2360	0
121	2312	0
122	2146	0
123	2274	0
124	2283	0
125	2097	0
126	2195	0
127	2040	0
128	1998	0
129	2016	0
130	1911	0
131	1935	0
132	1882	0
133	1876	0
134	1874	0
135	1864	0
136	1837	0
137	1802	0
138	1736	0
139	1723	0
140	1685	0
141	1660	0
142	1602	0
143	1594	0
144	1608	0
145	1492	0
146	1509	0
147	1402	0
148	1411	0
149	1331	0
150	1354	0
151	1271	0
152	1194	0
153	1228	0
154	1163	0
155	1121	0
156	1181	0
157	1108	0
158	1152	0
159	1080	0
160	1073	0
161	1137	0
162	1058	0
163	1006	0
164	976	0
165	1044	0
166	1016	0
167	958	0
168	846	0
169	865	0
170	854	0
171	835	0
172	811	0
173	798	0
174	778	0
175	743	0
176	768	0
177	730	0
178	763	0
179	752	0
180	681	0
181	684	0
182	633	0
183	689	0
184	641	0
185	633	0
186	613	0
187	622	0
188	634	0
189	563	0
190	574	0
191	610	0
192	585	0
193	602	0
194	573	0
195	549	0
196	575	0
197	524	0
198	478	0
199	419	0
200	24164	0

